
mare,328922236099809_1481341722321055,commento,2022-07-14T07:05:30+0000,positivo
impatto ambientale,328295082829191_774644930388739,sottocommento,2022-07-17T08:44:00+0000,neutrale
qualità dell'aria,405353439582567_328255796166453,post,2022-07-13T07:00:02+0000,neutrale
trasporto,405353439582567_327792239546142,post,2022-07-12T18:00:05+0000,neutrale
trasporto,327792239546142_1126312494614842,commento,2022-07-12T19:43:58+0000,neutrale
qualità dell'aria,405353439582567_327433869581979,post,2022-07-12T07:00:06+0000,positivo
qualità dell'aria,405353439582567_326788472979852,post,2022-07-11T07:00:04+0000,neutrale
mare,326202926371740_712515140049190,sottocommento,2022-07-10T13:21:23+0000,positivo
maratona,326202926371740_316265997292033,sottocommento,2022-07-10T10:11:08+0000,neutrale
ciclabile,326202926371740_408787647875742,sottocommento,2022-07-10T14:09:55+0000,positivo
mare,326202926371740_548860166934660,sottocommento,2022-07-10T09:49:10+0000,neutrale
parco,326202926371740_1696863244003179,sottocommento,2022-07-10T12:43:59+0000,neutrale
mare,326202926371740_557530769413103,sottocommento,2022-07-10T14:09:56+0000,negativo
mare,326202926371740_425060719536806,sottocommento,2022-07-10T14:18:18+0000,negativo
acqua,326202926371740_1190650335109862,commento,2022-07-10T10:56:55+0000,negativo
acqua,326202926371740_1247179896026455,sottocommento,2022-07-10T11:08:39+0000,neutrale
acqua,326202926371740_1175860789648410,sottocommento,2022-07-10T11:15:29+0000,positivo
acqua,326202926371740_1735003090225900,sottocommento,2022-07-10T12:07:48+0000,positivo
passeggiata,326202926371740_1735003090225900,sottocommento,2022-07-10T12:07:48+0000,positivo
acqua,326202926371740_1244455059710310,sottocommento,2022-07-10T12:29:00+0000,positivo
acqua,326202926371740_650546706680549,sottocommento,2022-07-10T16:05:12+0000,negativo
acqua,326202926371740_913309040064102,sottocommento,2022-07-12T15:59:08+0000,positivo
acqua,326202926371740_1173802786496740,sottocommento,2022-07-12T20:09:36+0000,positivo
mare,326202926371740_1214965832586601,commento,2022-07-10T13:57:40+0000,neutrale
sport,326202926371740_340237298307457,commento,2022-07-11T07:52:46+0000,positivo
sport,405353439582567_333333395658693,post,2022-07-15T08:16:20+0000,neutrale
trasporto,325543316437701_2794456470698840,commento,2022-07-10T08:23:22+0000,negativo
mare,325543316437701_2794456470698840,commento,2022-07-10T08:23:22+0000,negativo
benessere,325523906439642_425995246114773,sottocommento,2022-07-09T15:31:07+0000,neutrale
bicicletta,325522426439790_726500831773170,commento,2022-07-09T11:30:11+0000,positivo
aria aperta,325522426439790_337090645284978,commento,2022-07-09T11:18:28+0000,positivo
trasporto,405353439582567_325086233150076,post,2022-07-08T19:37:05+0000,neutrale
impatto ambientale,325075163151183_5526725794046272,commento,2022-07-08T20:44:36+0000,neutrale
impatto ambientale,325075163151183_767162787807990,sottocommento,2022-07-08T21:30:24+0000,neutrale
impatto ambientale,325075163151183_593671279042146,sottocommento,2022-07-09T10:59:41+0000,neutrale
impatto ambientale,325075163151183_1401792073629377,sottocommento,2022-07-09T11:09:01+0000,neutrale
impatto ambientale,325075163151183_1426202447894209,sottocommento,2022-07-09T11:09:41+0000,neutrale
